Source	Windowsize	Num-prots	Precision	Recall	Fmeasure	Auc_pr	Auc_roc
BNF	1	17.000000	0.755868544601	0.0996904024768	0.176148796499	0.502805273332	0.546625386997
BNF	1	23.000000	0.646271510516	0.209287925697	0.316183348924	0.493672390965	0.593188854489
BNF	1	35.000000	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	42.000000	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	44.000000	0.497206703911	0.0551083591331	0.0992196209588	0.354898501594	0.521981424149
BNF	1	59.000000	0.669236700077	0.53746130031	0.596153846154	0.641893891834	0.742167182663
BNF	1	66.000000	0.594339622642	0.117027863777	0.195550957062	0.429264754561	0.550526315789
BNF	1	77.000000	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	83.000000	0.563610177628	0.72693498452	0.634937804218	0.668027999031	0.807182662539
BNF	1	94.000000	0.491147540984	0.463777089783	0.477070063694	0.522147557902	0.683839009288
BNF	1	95.000000	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	124.000000	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	138.000000	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	138.000000	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	139.000000	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	141.000000	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	143.000000	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	146.000000	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	148.000000	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	151.000000	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	157.000000	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	157.000000	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	160.000000	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	160.000000	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	161.000000	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	161.000000	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	164.000000	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	168.000000	0.0	0.0	0.0	0.583333333333	0.5
