Source	Windowsize	Entropy	Precision	Recall	Fmeasure	Auc_pr	Auc_roc
BNF	1	0.038791	0.755868544601	0.0996904024768	0.176148796499	0.502805273332	0.546625386997
BNF	1	0.050030	0.646271510516	0.209287925697	0.316183348924	0.493672390965	0.593188854489
BNF	1	0.070942	0.25	0.00061919504644	0.0012353304509	0.208591331269	0.500123839009
BNF	1	0.082422	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.085623	0.502994011976	0.0520123839009	0.0942760942761	0.356502165947	0.520866873065
BNF	1	0.108683	0.669236700077	0.53746130031	0.596153846154	0.641893891834	0.742167182663
BNF	1	0.118953	0.594339622642	0.117027863777	0.195550957062	0.429264754561	0.550526315789
BNF	1	0.134564	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.142835	0.563610177628	0.72693498452	0.634937804218	0.668027999031	0.807182662539
BNF	1	0.157603	0.482472324723	0.323839009288	0.387550944794	0.459502416232	0.627182662539
BNF	1	0.158922	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.195650	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.212460	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.212460	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.213640	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.215992	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.218335	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.221829	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.224146	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.227603	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.234452	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.234452	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.237845	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.237845	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.238971	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.238971	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.242337	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.246793	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.250112	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.252314	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.258869	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.258869	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.268564	0.0	0.0	0.0	0.583333333333	0.5
