ID	NAME
0	Q8WQA8
0	Q19869
0	O45946
0	Q9U332
0	P49041
0	P47991
0	Q93572
0	Q6BEU6,Q6BEU5,P50880
0	Q22054
0	O18650
0	O44480
0	Q21930
0	O02639
0	A3QMC5
0	P51404
0	P49196
0	O01868
0	Q9XVP0
0	P52819
0	P52821
0	P34334
0	P49405
0	O01869
0	P48158
0	P49181
0	P91914
0	A8WIR1,O17218
0	P34662
0	Q9NEN6
0	P91913
0	Q6BEU6,Q6BEU5,P50880
0	P51403
0	Q20206
0	Q27389
0	Q94300
0	P48156
0	B7WN95,Q22716
0	P48154
0	Q09533
0	O01802
0	Q966C6
0	P48152
0	Q9XWS4
0	Q9XVF7
0	Q19869
0	Q95Y90
0	P48150
0	Q9BKU6,Q9BKU5
0	P91128
0	P46769
0	Q20228
0	Q23312
0	O17570
0	O02056
0	P91374
0	O01504
0	Q9TXP0
0	P49180
0	Q19877
0	Q9XVE9
0	Q23314
0	O45499
0	Q9U2A8
0	P61866
0	Q9N3X2
0	P48162
0	Q95Y46,Q9N4I4
0	Q9BL19
0	O18240
1	P34286
1	P46502
1	Q9N599
1	Q9XTT9
1	Q20058
1	Q23449
1	O17071
1	Q09583
1	O16368
1	Q9XUV0
1	O17586
1	Q95005
1	C0Z1Y9
1	O61792
1	Q27488
1	Q23237
1	Q04908
1	Q20938
1	Q10920
1	O76577
1	P91477
1	NA
1	O44156
1	Q09289
1	NA
1	O62102
1	Q966I8
1	Q95008
1	Q95005
1	O61742
1	P90868
1	Q18787
1	Q20585
1	O76371
1	Q18115
1	Q9GZH5
1	Q22253
1	Q19324
1	Q9XUV0
2	NA
2	O17836,B7WNA0,O17835,Q7JL40,Q3S1I8
2	NA
2	NA
2	Q9U3F4,Q9U3F5
2	O17214,Q8ITZ0
2	Q9N384
2	NA
2	Q7Z145,Q23487
2	Q8IG49,Q95QV6,Q95QV7,Q95QV8,Q8IG50
2	Q7JMT5,Q27512
2	Q10457
2	NA
2	P91856
2	Q21032
2	A7WK41
2	NA
2	Q8IG49,Q95QV6,Q95QV7,Q95QV8,Q8IG50
2	NA
2	NA
2	Q7Z145,Q23487
2	Q09253
2	A8DYR6,Q8IG31
2	O45099
2	Q95Y67
2	Q966C7,Q8T876
2	P34650
2	Q95Y67
2	Q21215
2	Q17522
2	NA
3	Q19102
3	Q95Y37
3	Q965Q1
3	Q8MNY0
3	O01814
3	NA
3	NA
3	Q20496
3	Q93713
3	O01814
3	P34345
3	Q93713
3	P54216
3	Q93713
3	O01814
3	O01814
3	O45552
3	O62327
3	P29691
3	O16259
3	P53795
3	P55853
4	Q19302
4	Q09622
4	O61815
4	Q86NC8,P91340
4	Q95Y89
4	O62325
4	O44411,Q86FQ4
4	Q8MQ21,Q20875
4	Q9TYV5
4	P34524
4	Q09958
4	Q21086
4	Q9NAQ2
4	Q95X81,O17157
4	P91343
4	NA
4	Q9XTD3
4	P91136
4	Q9XVT0
4	O17580
4	Q9N3F0
4	P34580
5	P91134
5	O17939
